naics2,ai_intensity,emp_total
00,0.17922329589033456,355433660.0
11,0.15401264976565232,1314760.0
21,0.17104172422925196,2085780.0
22,0.18728865675631526,2698210.0
23,0.17422506433209675,33103470.0
31,0.1553877215868413,5251920.0
32,0.17066591193028854,7942590.0
33,0.18457684473997069,17151070.0
42,0.19595644645143767,21865710.0
44,0.1689572088035875,15536100.0
45,0.17213624788415366,17783630.0
48,0.1622864706115517,8325130.0
49,0.15143322134331758,9022960.0
51,0.2133762767701064,13172290.0
52,0.21916947596850675,28006370.0
53,0.19095998813627216,7838560.0
54,0.21712102765014582,51554640.0
55,0.21594174953350717,13005090.0
56,0.17267327738829835,37635530.0
61,0.1845710284780317,66818650.0
62,0.17561844789514514,130863920.0
71,0.16490749516836894,9393720.0
72,0.1302812849451479,58448020.0
81,0.1740702399020005,15515840.0
99,0.18401326499855766,105849970.0
