industry_bucket,ai_intensity,ai_intensity_zscore
information,0.2133762767701064,1.47393192807173
financial_activities,0.2130006324823501,1.4568280856103692
professional_business_services,0.2006021474549764,0.8923000425130743
education_health,0.1786445080509023,-0.10747558946538524
leisure_hospitality,0.1350758100192111,-2.091246331279764
trade_transportation_utilities,0.1753734029662461,-0.25641560496966126
manufacturing,0.175884054043756,-0.23316463093083856
construction,0.1742250643320967,-0.30870178029818846
mining_logging,0.1710417242292519,-0.4536456790732777
other_services,0.1740702399020005,-0.31575124903190027
total_private,0.1797605666088604,-0.05665919114615173
