onet_soc_code,ai_exposure,ai_sim_raw,automation_sim_raw,n_rows_used,soc_2018,title,text_len
41-3021.00,0.2361702024936676,0.4019896984100342,0.2624834179878235,67,41-3021,Insurance Sales Agents,
29-9021.00,0.23604217171669006,0.4110264182090759,0.24417805671691895,111,29-9021,Health Information Technologists and Medical Registrars,
29-2072.00,0.23604217171669006,0.4110264182090759,0.24417810142040253,111,29-2072,Medical Records Specialists,
17-3025.00,0.2356521636247635,0.3981339931488037,0.3363741934299469,73,17-3025,Environmental Engineering Technologists and Technicians,
13-1051.00,0.2354048788547516,0.40821918845176697,0.30170807242393494,65,13-1051,Cost Estimators,
15-1232.00,0.23452773690223694,0.4212462902069092,0.37077564001083374,264,15-1232,Computer User Support Specialists,
15-2041.01,0.23431570827960968,0.38319969177246094,0.21559660136699677,48,15-2041,Biostatisticians,
27-2012.00,0.2342933863401413,0.3534475564956665,0.22541698813438416,76,27-2012,Producers and Directors,
11-3031.03,0.2337072789669037,0.38172751665115356,0.22611074149608612,24,11-3031,Investment Fund Managers,
13-2041.00,0.2328261137008667,0.3802722990512848,0.22081585228443146,41,13-2041,Credit Analysts,
13-2072.00,0.2328261137008667,0.3646509051322937,0.2554585337638855,88,13-2072,Loan Officers,
11-3071.00,0.23282107710838318,0.43771424889564514,0.40179651975631714,108,11-3071,"Transportation, Storage, and Distribution Managers",
19-2099.01,0.2321169078350067,0.36769750714302063,0.24731488525867462,90,19-2099,Remote Sensing Scientists and Technologists,
23-1011.00,0.23134028911590576,0.39705872535705566,0.22322151064872742,127,23-1011,Lawyers,
11-2032.00,0.2312920093536377,0.3925008177757263,0.21738770604133606,66,11-2032,Public Relations Managers,
41-3041.00,0.23075620830059052,0.3732668459415436,0.26024702191352844,30,41-3041,Travel Agents,
15-1299.01,0.2300293743610382,0.36851388216018677,0.27822190523147583,118,15-1299,Web Administrators,
25-1066.00,0.23000352084636688,0.3596420884132385,0.2437514364719391,46,25-1066,"Psychology Teachers, Postsecondary",
11-3031.00,0.2297596037387848,0.4191359579563141,0.25931596755981445,67,11-3031,Financial Managers,
13-1151.00,0.2287626713514328,0.4176724851131439,0.28381943702697754,117,13-1151,Training and Development Specialists,
15-1243.01,0.22785237431526184,0.425950288772583,0.2847059965133667,159,15-1243,Data Warehousing Specialists,
43-6014.00,0.22778311371803284,0.42856961488723755,0.27739763259887695,132,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",
11-2033.00,0.22759822010993958,0.3925008177757263,0.21738770604133606,61,11-2033,Fundraising Managers,
17-3027.00,0.22606465220451355,0.3673607110977173,0.4894997477531433,46,17-3027,Mechanical Engineering Technologists and Technicians,
11-3111.00,0.2258470505475998,0.3800073266029358,0.24025516211986542,86,11-3111,Compensation and Benefits Managers,
25-9031.00,0.22582414746284485,0.3887523114681244,0.2555287480354309,88,25-9031,Instructional Coordinators,
17-2071.00,0.22537927329540253,0.3975125551223755,0.4783458709716797,122,17-2071,Electrical Engineers,
19-2031.00,0.22518348693847656,0.37635767459869385,0.3109448254108429,74,19-2031,Chemists,
15-1244.00,0.22422127425670624,0.4171670973300934,0.39951905608177185,266,15-1244,Network and Computer Systems Administrators,
19-3091.00,0.22403518855571747,0.35125988721847534,0.22419485449790955,59,19-3091,Anthropologists and Archeologists,
11-9111.00,0.22364787757396698,0.41634970903396606,0.3133748173713684,127,11-9111,Medical and Health Services Managers,
19-1022.00,0.22257208824157715,0.35858699679374695,0.2412945032119751,45,19-1022,Microbiologists,
17-2199.03,0.22246447205543518,0.357357382774353,0.2618980407714844,45,17-2199,"Energy Engineers, Except Wind and Solar",
27-3031.00,0.22180533409118652,0.3480380177497864,0.25005239248275757,71,27-3031,Public Relations Specialists,
13-1082.00,0.22174617648124695,0.40837281942367554,0.2790772020816803,91,13-1082,Project Management Specialists,
31-2011.00,0.22161313891410828,0.3313797116279602,0.19955238699913025,37,31-2011,Occupational Therapy Assistants,
29-1122.00,0.22134122252464294,0.33502909541130066,0.20504918694496155,36,29-1122,Occupational Therapists,
25-1065.00,0.22132286429405212,0.3642098903656006,0.2298494279384613,29,25-1065,"Political Science Teachers, Postsecondary",
17-3031.00,0.22119875252246857,0.34749555587768555,0.28544968366622925,105,17-3031,Surveying and Mapping Technicians,
47-4011.01,0.22040148079395294,0.3683498501777649,0.25674325227737427,63,47-4011,Energy Auditors,
15-2011.00,0.22024352848529816,0.40435200929641724,0.2334429770708084,45,15-2011,Actuaries,
13-1081.02,0.22023586928844452,0.4199908673763275,0.36085373163223267,53,13-1081,Logistics Analysts,
15-2051.02,0.21991148591041565,0.3450508117675781,0.247945636510849,57,15-2051,Clinical Data Managers,
19-2041.00,0.21969887614250183,0.3629430830478668,0.2882136404514313,63,19-2041,"Environmental Scientists and Specialists, Including Health",
13-1023.00,0.2187124788761139,0.3982228636741638,0.2844662070274353,58,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",
13-1141.00,0.21850347518920898,0.4003438353538513,0.25121036171913147,96,13-1141,"Compensation, Benefits, and Job Analysis Specialists",
27-3041.00,0.2180275022983551,0.3409953713417053,0.22744369506835938,57,27-3041,Editors,
15-1212.00,0.2178637534379959,0.4171670973300934,0.388182669878006,247,15-1212,Information Security Analysts,
15-1241.00,0.2178637534379959,0.4171670973300934,0.38709670305252075,283,15-1241,Computer Network Architects,
