naics2,ai_intensity,emp_total
00,0.1761998114281174,47497790.0
11,0.18090118675466266,129290.0
21,0.18932441964122015,392660.0
22,0.19179567151662014,353620.0
23,0.1820469629844922,840130.0
31,0.18539846090963258,674600.0
32,0.1851811627309299,840010.0
33,0.18230573196099684,1800740.0
42,0.1820492834525181,711470.0
44,0.18793564839431648,380850.0
45,0.18768162579752878,534250.0
48,0.18947979607888263,717410.0
49,0.1918834722464088,193360.0
51,0.19532162262670064,654940.0
52,0.19824879943090037,494430.0
53,0.18886239290282014,270710.0
54,0.18585699709550263,805890.0
55,0.17289302193336087,267510.0
56,0.17951347110382493,941310.0
61,0.1855786861726868,1450540.0
62,0.18911830982130223,1790440.0
71,0.18613598192630268,572870.0
72,0.18546545202591114,314150.0
81,0.1872522544393686,776280.0
99,0.1745229746780635,647920.0
