industry_bucket,ai_intensity,ai_intensity_zscore
information,0.1953216226267006,1.643101574136778
financial_activities,0.1949278462573418,1.5683189902541053
professional_business_services,0.1811718476462764,-1.044100647056778
education_health,0.1875341082257161,0.16416455748077094
leisure_hospitality,0.1858985047913925,-0.14645502394626814
trade_transportation_utilities,0.1875594536179996,0.16897793398573485
manufacturing,0.1836635812227041,-0.5708922737460701
construction,0.1820469629844922,-0.8779063518183431
mining_logging,0.1893244196412201,0.5041649333896688
other_services,0.1872522544393686,0.11063733731136083
total_private,0.1786658863247743,-1.5200110299909173
