date,industry,avg_hourly_earnings
2023-06-01,Professional & Business Services,40.48
2023-06-01,Retail Trade,23.89
2023-06-01,Total Private,33.69
2023-07-01,Construction,36.69
2023-07-01,Education & Health Services,33.24
2023-07-01,Financial Activities,43.57
2023-07-01,Information,48.34
2023-07-01,Leisure & Hospitality,21.24
2023-07-01,Manufacturing,32.57
2023-07-01,Mining & Logging,38.21
2023-07-01,Professional & Business Services,40.73
2023-07-01,Retail Trade,23.94
2023-07-01,Total Private,33.84
2023-08-01,Construction,36.78
2023-08-01,Education & Health Services,33.31
2023-08-01,Financial Activities,43.89
2023-08-01,Information,48.28
2023-08-01,Leisure & Hospitality,21.29
2023-08-01,Manufacturing,32.59
2023-08-01,Mining & Logging,38.33
2023-08-01,Professional & Business Services,40.72
2023-08-01,Retail Trade,23.99
2023-08-01,Total Private,33.89
2023-09-01,Construction,36.84
2023-09-01,Education & Health Services,33.42
2023-09-01,Financial Activities,44.12
2023-09-01,Information,48.42
2023-09-01,Leisure & Hospitality,21.32
2023-09-01,Manufacturing,32.76
2023-09-01,Mining & Logging,38.79
2023-09-01,Professional & Business Services,40.77
2023-09-01,Retail Trade,24.08
2023-09-01,Total Private,33.99
2023-10-01,Construction,37.02
2023-10-01,Education & Health Services,33.51
2023-10-01,Financial Activities,44.18
2023-10-01,Information,48.63
2023-10-01,Leisure & Hospitality,21.44
2023-10-01,Manufacturing,32.84
2023-10-01,Mining & Logging,38.68
2023-10-01,Professional & Business Services,40.91
2023-10-01,Retail Trade,24.02
2023-10-01,Total Private,34.07
2023-11-01,Construction,37.2
2023-11-01,Education & Health Services,33.55
2023-11-01,Financial Activities,44.38
2023-11-01,Information,49.18
2023-11-01,Leisure & Hospitality,21.52
2023-11-01,Manufacturing,33.03
2023-11-01,Mining & Logging,38.78
2023-11-01,Professional & Business Services,41.08
2023-11-01,Retail Trade,24.07
2023-11-01,Total Private,34.19
2023-12-01,Construction,37.29
2023-12-01,Education & Health Services,33.61
2023-12-01,Financial Activities,44.53
2023-12-01,Information,49.14
2023-12-01,Leisure & Hospitality,21.6
2023-12-01,Manufacturing,33.21
2023-12-01,Mining & Logging,38.9
2023-12-01,Professional & Business Services,41.22
2023-12-01,Retail Trade,24.22
2023-12-01,Total Private,34.31
2024-01-01,Construction,37.54
2024-01-01,Education & Health Services,33.71
2024-01-01,Financial Activities,44.79
2024-01-01,Information,49.14
2024-01-01,Leisure & Hospitality,21.68
